block,timestamp,amount0,amount1,sqrtPriceX96,liquidity,tick
25587855,1784718275,-497726121,258100000000000000,1803723367138552488143299113181321,15067107704576554831,200670
25587856,1784718287,132789999,-68790548873703092,1803723005413602187579762944646565,15067107704576554831,200670
25587867,1784718419,-1999495730,1036858557256378397,1803728454855239518879039463039060,15067107704576554831,200670
25587868,1784718431,-19990016851,10366368081344635000,1803782937617092651199819417994787,15067107704576554831,200671
25587869,1784718443,-69958077387,36283599118901527000,1803973634172960385382889537741075,15067107704576554831,200673
25587869,1784718443,-3384356734,1755483538295241197,1803982860508626215576410414253428,15067107704576554831,200673
25587877,1784718539,-22484065209,11663058151600466000,1804044158314643389013442168339721,15067107704576554831,200674
25587880,1784718575,19349693,-10027485005732360,1804044105586593173894882926523180,15067107704576554831,200674
25587880,1784718575,195841,-101489561153874,1804044105052925292689112594853098,15067107704576554831,200674
25587886,1784718659,31064195,-16098225387394794,1804044020402782598324173887626347,15067107704576554831,200674
25587888,1784718683,-404001285391,209700000000000000000,1805131561782040053020572949175317,15454988668241152413,200686
25587888,1784718683,4754071588,-2466630091006935686,1805118916896048356427455365179605,15454988668241152413,200686
25587888,1784718683,17307027172,-8979386523634841899,1805072885138274579994688275640328,15454988668241152413,200685
25587888,1784718683,486698469,-252506628959319368,1805071590693052745048336889191124,15454988668241152413,200685
25587888,1784718683,1644078,-852971766159569,1805071586320394365282583329389883,15454988668241152413,200685
25587889,1784718695,38329983753,-19885045976272099790,1804969647995622303314333884044372,15454988668241152413,200684
25587889,1784718695,2155818689,-1118341111980135016,1804963914952831503987432163879172,15454988668241152413,200684
25587890,1784718707,2604167,-1350919141442546,1804963908027505088072233415996475,15454988668241152413,200684
25587890,1784718707,-2857343060,1483745086355626270,1804971510467219233815572580263613,15454988668241152413,200684
25587890,1784718707,677607182,-351513412133453824,1804969708475490848919510620726285,15454988668241152413,200684
25587893,1784718743,25251070202,-13098666924776568972,1804902559716335238259148551936771,15454988668241152413,200683
25587893,1784718743,-53954658,28015252532584014,1804902703261389179209773535520616,15454988668241152413,200683
25587894,1784718755,41137695218,-21337565003756101551,1804793318770461004468984139392076,15454988668241152413,200682
25587894,1784718755,-192613,100000000000000,1804793319282842799971259459217116,15454988668241152413,200682
25587895,1784718767,35125540140,-18217094818323665498,1804699931511438619123380763230208,15454988668241152413,200681
25587896,1784718779,13214482500,-6852914929930581146,1804664800857549452735874387874669,15454988668241152413,200681
25587908,1784718923,39643447500,-20557143992846676934,1804559271850820575346026501115578,15067107704576554831,200679
25587913,1784718983,1879212844,-974407621919098193,1804554148072127396236498799490797,15067107704576554831,200679
25587919,1784719055,805537112,-417684627895308812,1804551951739146478610497978478113,15067107704576554831,200679
25587920,1784719067,-4160800769,2159615650000000000,1804563302081352153550615594021597,15067107704576554831,200679
25587929,1784719175,-36240574118,18811375939669325000,1804659732249956631258595141963262,15454988668241152413,200681
25587929,1784719175,-23962168684,12439134076149673528,1804723468108480942323167784693677,15454988668241152413,200681
25587929,1784719175,-9655473396,5012554617435101184,1804749151525830288502308465556279,15454988668241152413,200682
25587930,1784719187,-640191731772,332668570516023263856,1806453684598287610680548856038987,15454428806966229800,200700
25587930,1784719187,218780648128,-113643896077529808169,1805871101391787427133615166451599,15455042379058699238,200694
25587930,1784719187,85095794514,-44182547340546512118,1805644605601278685912543707973048,15455042379058699238,200691
25587932,1784719211,141073053131,-73222061872598177810,1805269242019271893737071572795380,15454988668241152413,200687
25587933,1784719223,21295781101,-11050642825139133959,1805212592212246389727644768216323,15454988668241152413,200687
25587935,1784719247,2765059271,-1434772404134273528,1805205237022045614987680182855785,15454988668241152413,200687
25587937,1784719271,137861578126,-71520712234608183108,1804838594591326554551518447948472,15454988668241152413,200683
25587937,1784719271,609748334,-316264612881846870,1804836973298378057975913142257562,15454988668241152413,200683
25587937,1784719271,348857848,-180945531901332217,1804836045702614939228144715199683,15454988668241152413,200683
25587937,1784719271,4391046949,-2277531614055027090,1804824370207490149734104315619073,15454988668241152413,200682
25587938,1784719283,56875970837,-29497550844303458506,1804673154519000666358628282768903,15454988668241152413,200681
25587939,1784719295,218638415,-113382773406533603,1804672573275688839772121909622316,15454988668241152413,200681
25587939,1784719295,-83701453,43449813937574364,1804672795904625635513511217422910,15454988668241152413,200681
25587939,1784719295,1800795048,-933864163551759522,1804668008560985056413553955582429,15454988668241152413,200681
25587940,1784719307,2498337861,-1295590758285398619,1804661366868949374303204214161475,15454988668241152413,200681
25587941,1784719319,31975182421,-16580882763018876287,1804576366944175704071650110426992,15454988668241152413,200680
25587943,1784719343,56673,-29385934224400,1804576366793532204917974929747471,15454988668241152413,200680
25587946,1784719379,9676436703,-5017453792219953403,1804550274347165953891344136740799,15067107704576554831,200679
25587947,1784719391,29399790,-15244241147871185,1804550194187573366435487234024369,15067107704576554831,200679
25587948,1784719403,7299289752,-3784751573777824774,1804530292629912614687863393502411,15067107704576554831,200679
25587952,1784719451,346933276,-179886144574253489,1804529346725165941614002934423443,15067107704576554831,200679
25587953,1784719463,63987470617,-33174507760217932709,1804354903471444530923432850663852,15067107704576554831,200677
